Наименование исследование.,Наименование тест.,БМ,Единицы измерения,Референсные значения НИЖНИЙ предел,Референсные значения ВЕРХНИЙ предел,Референсные группы,Критическое значение ниже нормы,Критическое значение выше нормы,"Метод исследования 
(указывается при необходимости)
",Раздел,Подраздел,Синонимы русский,Синонимы английский
,,,,,<65,7-12 лет муж.,,,,,,,
,,,,,<77,13-17 лет,,,,,,,
,,,,,<115,>18 лет,,,,,,,
,,,,,<53,>18 лет,,,EPS альфа-амилаза жидкая 100% освобождение хромофора.,,,,
Липаза,Липаза,Сыв-ка крови,Ед/л,,<130,5 дней - 18 лет,,,"Турбидиметрический метод, Рош Диагностика.",Биохимия крови,Ферменты,"ЛПЗ, триацилглицерол-липаза","Lipase, LPS"
,,,,,<190,>18 лет,,,,,,,
,,,,,<60,>18 лет,,,Колориметрический метод,,,,
ЛДГ (лактатдегидрогеназа),ЛДГ (лактатдегидрогеназа),Сыв-ка крови,Ед/л,,<1103,недоношенные,–,>500,"НОКХ, оптимизированный, рекоменд., 1972",Биохимия крови,Ферменты,ЛДГ,"LDH, Lactate dehydrogenase"
,,,,,<1327,1 день,,,,,,,
,,,,,<1732,2-5 дней,,,,,,,
,,,,,<975,6 дней - 6 месяцев,,,,,,,
,,,,,<1100,7-12 месяцев,,,,,,,
,,,,,<850,1-3 года,,,,,,,
,,,,,<615,4-6 лет,,,,,,,
,,,,,<580,7-12 лет жен.,,,,,,,
,,,,,<764,7-12 лет муж.,,,,,,,
,,,,,<436,13-17 лет жен.,,,,,,,
,,,,,<683,13-17 лет муж.,,,,,,,
,,,,,<480,18-65 лет,,,,,,,
,,,,,<530,>66 лет,,,,,,,
,,,,,<214,>18 лет жен.,,,МФКХ,,,,
,,,,,<225,>18 лет муж.,,,,,,,
,,,,,<1100,<6 месяцев,,,"ЛДГ, Французское общество клинической биологии",,,,
,,,,,<440,>18 лет,,,,,,,
,,,,,<600,новорожденные,,,"МФКХ и НОКХ , стандартный метод, 1994",,,,
,,,,,<300,дети,,,,,,,
,,,,,<215,>18 лет жен.,,,,,,,
,,,,,<225,>18 лет муж.,,,,,,,
,,,,,<775,<4 дней,,,Лактат в качестве субстрата,,,,
,,,,,<2000,4-10 дней,,,,,,,
,,,,,<430,11 жней - 24 месяца,,,,,,,
,,,,,<250,>18 лет,,,,,,,
,,,,,<60,>18 лет,,,Колориметрический метод,,,,
ЛДГ-1-2 (гидроксибутиратдегидрогеназа),ЛДГ-1-2 (гидроксибутиратдегидрогеназа),Сыв-ка крови,Ед/л,,<182,>18 лет,,,"НОКХ, оптимизированный, рекоменд., 1972",Биохимия крови,Ферменты,"α-гидроксибутиратдегидрогеназа, альфа-гидроксибутиратдегидрогеназа","HBDH, Hydroxybutyrate dehydrogenase"
Креатинфосфокиназа,Креатинфосфокиназа,Сыв-ка крови,Ед/л,,<712,1 день,–,>1000,"МФКХ
НОКХ, оптимизированный, рекоменд., 1972",Биохимия крови,Ферменты,КФК,"CK, Creatine kinase"
,,,,,<652,2-5 дней,,,,,,,
,,,,,<295,6 дней- 6 месяцев,,,,,,,
,,,,,<203,7-12 месяцев,,,,,,,
,,,,,<228,1-3 года,,,,,,,
,,,,,<149,4-6 лет,,,,,,,
,,,,,<154,7-12 лет жен.,,,,,,,
,,,,,<247,7-12 лет муж.,,,,,,,
,,,,,<123,13-17 лет жен.,,,,,,,
,,,,,<270,13-17 лет муж.,,,,,,,
,,,,,<167,>18 лет жен.,,,,,,,
,,,,,<190,>18 лет муж.,,,,,,,
,,,,,<145,>18 лет жен.,,,"НОКХ, стандартный метод, 1994",,,,
,,,,,<170,>18 лет муж.,,,,,,,
Креатинфосфокиназа МВ-фракция (БХ фракиця),Креатинфосфокиназа МВ-фракция (БХ фракиця),Сыв-ка крови,Ед/л,,<24,>18 лет,,,"НОКХ, оптимизированный, рекоменд.,1972",Биохимия крови,Ферменты,КФК-МВ,"CK-MB, Creatine kinase-MB"
,,,,,<15,>18 лет жен.,,,"НОКХ, стандартный метод, 1994",,,,
,,,,,<20,>18 лет муж.,,,,,,,
"Креатинфосфокиназа МВ-фракция (ИХ фракиця)

","Креатинфосфокиназа МВ-фракция (ИХ фракиця)

",,нг/мл,,<5,>18 лет,,,"Массовая концентрация, предварительный референтный интервал для анализаторва Elicsys",,,,
АПФ (ангиотензинпревращающий фермент),АПФ (ангиотензинпревращающий фермент),Сыв-ка крови,Ед/л,8,52,1–12 лет,,,Ферментативный колориметрический метод (по реакции гидролиза синтетического субстрата).,Биохимия крови,Ферменты,АПФ,"ACE, Angiotensin-converting enzyme"
,,,,12,65,13–18 лет,,,,,,,
,,,,20,70,>18 лет,,,,,,,
Кислая фосфатаза общая,Кислая фосфатаза общая,Сыв-ка крови,Ед/л,,"<5,5",жен.,,,"альфа-Нафтилфосфат, Рош Диагностика, активированный пентандиолом. Эксперементальная величина без использования температурного коэффициента пересчета.",Биохимия крови,Ферменты,КФ,"ACP, Acid phosphatase"
,,,,,"<6,5",муж.,,,,,,,
Креатинин,Креатинин,Сыв-ка крови,мкмоль/л,27,77,Новорожденные (недоношенные),–,>400,Ферментативный метод,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Субстраты,"Креат, креатинин сывороточный, продукт метаболизма креатинфосфата","Creatinine, Serum Creatinine, Cr, CRE"
,,,мкмоль/л,27,77,Новорожденные (доношенные),,,,,,,
,,,мкмоль/л,14,34,2–12 месяцев,,,,,,,
,,,мкмоль/л,15,31,1–3 года,,,,,,,
,,,мкмоль/л,23,37,3–5 лет,,,,,,,
,,,мкмоль/л,25,42,5–7 лет,,,,,,,
,,,мкмоль/л,30,47,7–9 лет,,,,,,,
,,,мкмоль/л,29,56,9–11 лет,,,,,,,
,,,мкмоль/л,39,60,11–13 лет,,,,,,,
,,,мкмоль/л,40,68,13–15 лет,,,,,,,
,,,мкмоль/л,59,104,15-90 лет мужчины,,,,,,,
,,,мкмоль/л,45,84,15-90 лет женщины,,,,,,,
Мочевина,Мочевина,Сыв-ка крови,ммоль/л,1.0,8.7,0–14 дней,<2,>35.5,Кинетический ферментативный метод. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Субстраты,"Азот мочевины, мочевина крови, карбамид","Urea, Blood Urea Nitrogen (BUN), Urea Nitrogen, Carbamide"
,,,ммоль/л,1.2,6.3,15 дней – 1 год,,,,,,,
,,,ммоль/л,3.3,8.4,1–10 лет,,,,,,,
,,,ммоль/л,2.7,7.2,10–19 лет жен.,,,,,,,
,,,ммоль/л,2.7,7.9,10–19 лет муж.,,,,,,,
,,,ммоль/л,2.76,8.07,20-90,,,,,,,
Мочевая кислота,Мочевая кислота,Сыв-ка крови,мкмоль/л,165,718,0–14 дней,–,>770,Ферментативный колориметрический тест.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Субстраты,"Ураты, урикемия, продукт пуринового обмена","Uric Acid, UA, Urate, Serum Urate"
,,,мкмоль/л,100,364,15 дней – 1 год,,,,,,,
,,,мкмоль/л,111,282,1–12 лет,,,,,,,
,,,мкмоль/л,155,338,12–19 лет жен.,,,,,,,
,,,мкмоль/л,158,435,12–19 лет муж.,,,,,,,
,,,мкмоль/л,202.3,416.5,20-90 муж.,,,,,,,
,,,мкмоль/л,142.8,339.2,20-90 жен.,,,,,,,
Билирубин общий,Билирубин общий,Сыв-ка крови,мкмоль/л,0,342,Новорожденные (до 24 часов),–,>250,Кинетический ферментативный метод. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Субстраты,"Общий билирубин, суммарный билирубин, T-Bil","Total Bilirubin, TBIL, T-Bil, Serum Bilirubin"
,,,мкмоль/л,0,428,Новорожденные (до 48 часов),,,,,,,
,,,мкмоль/л,0,513,Новорожденные (до 84 часов),,,,,,,
,,,мкмоль/л,2.4,247,0–14 дней,,,,,,,
,,,мкмоль/л,1.2,9.7,15 дней – 1 год,,,,,,,
,,,мкмоль/л,1.2,5.4,1–9 лет,,,,,,,
,,,мкмоль/л,1.2,7.7,9-12 лет,,,,,,,
,,,мкмоль/л,1.2,9.9,12-15 лет,,,,,,,
,,,мкмоль/л,1,12,15-19 лет,,,,,,,
,,,мкмоль/л,0,21,20-90 лет,,,,,,,
Билирубин прямой (коньюгированный),Билирубин прямой (коньюгированный),Сыв-ка крови,мкмоль/л,4.3,9.4,0–14 дней,,,Кинетический ферментативный метод. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Субстраты,"Прямой билирубин, связанный билирубин, конъюгированный билирубин","Direct Bilirubin, DBIL, Conjugated Bilirubin"
,,,мкмоль/л,2.0,3.9,15 дней – 1 год,,,,,,,
,,,мкмоль/л,2.0,2.4,1–9 лет,,,,,,,
,,,мкмоль/л,2.0,3.7,9-13 лет,,,,,,,
,,,мкмоль/л,2.0,5.1,12-19 лет жен.,,,,,,,
,,,мкмоль/л,2.0,5.4,12-19 лет муж.,,,,,,,
,,,мкмоль/л,0,5,20-90,,,,,,,
Желчные кислоты,Желчные кислоты,Сыв-ка крови,мкмоль/л,0,10,,,,ферментативный метод. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Субстраты,"ЖК, холевые кислоты, соли желчных кислот","Bile Acids, BA, Total Bile Acids (TBA), Cholic Acids"
Проба Реберга (клиренс эндогенного креатинина),Креатинин в сыворотке,Сыв-ка крови,мкмоль/л,27,77,Новорожденные (недоношенные),,,Ферментативный метод.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Субстраты,"Клиренс креатинина, СКФ (скорость клубочковой фильтрации), проба Реберга-Тареева","Creatinine Clearance, CrCl, Rehberg Test, GFR (Glomerular Filtration Rate)"
,,,мкмоль/л,27,77,Новорожденные (доношенные),,,,,,,
,,,мкмоль/л,14,34,2–12 месяцев,,,,,,,
,,,мкмоль/л,15,31,1–3 года,,,,,,,
,,,мкмоль/л,23,37,3–5 лет,,,,,,,
,,,мкмоль/л,25,42,5–7 лет,,,,,,,
,,,мкмоль/л,30,47,7–9 лет,,,,,,,
,,,мкмоль/л,29,56,9–11 лет,,,,,,,
,,,мкмоль/л,39,60,11–13 лет,,,,,,,
,,,мкмоль/л,40,68,13–15 лет,,,,,,,
,,,мкмоль/л,59,104,15-90 лет мужчины,,,,,,,
,,,мкмоль/л,45,84,15-90 лет женщины,,,,,,,
,Креатинин в моче,Моча сут.,ммоль/сут,0.3,0.7,0-1 месяца муж.,,,Кинетический метод Яффе.,,,,
,,,ммоль/сут,0.5,1.2,2-3 месяца муж.,,,,,,,
,,,ммоль/сут,0.6,1.4,4-5 месяца муж.,,,,,,,
,,,ммоль/сут,0.7,1.7,6-8 месяцев муж.,,,,,,,
,,,ммоль/сут,0.8,1.9,9-11 месяцев муж.,,,,,,,
,,,ммоль/сут,0.9,2.3,12-17 месяцев муж.,,,,,,,
,,,ммоль/сут,1.0,2.5,18-24 месяца муж,,,,,,,
,,,ммоль/сут,1.1,2.9,25-36 месяцев муж.,,,,,,,
,,,ммоль/сут,1.2,3.2,3-4 года муж.,,,,,,,
,,,ммоль/сут,1.4,3.6,4-5 лет муж.,,,,,,,
,,,ммоль/сут,1.5,4.0,5-6 лет муж.,,,,,,,
,,,ммоль/сут,1.7,4.5,6-7 лет муж,,,,,,,
,,,ммоль/сут,2.0,5.0,7-8 лет муж.,,,,,,,
,,,ммоль/сут,2.2,5.5,8-9 лет муж.,,,,,,,
,,,ммоль/сут,2.4,6.1,9-10 лет муж.,,,,,,,
,,,ммоль/сут,2.7,6.8,10-11 лет муж.,,,,,,,
,,,ммоль/сут,3.0,10.4,11-12 лет муж.,,,,,,,
,,,ммоль/сут,3.5,11.9,12-13 лет муж.,,,,,,,
,,,ммоль/сут,3.7,12.8,13-14 лет муж.,,,,,,,
,,,ммоль/сут,7.1,17.7,15-90 лет муж.,,,,,,,
,,,ммоль/сут,0.3,0.9,0-1 месяца жен.,,,,,,,
,,,ммоль/сут,0.5,1.2,2-3 месяца жен.,,,,,,,
,,,ммоль/сут,0.6,1.5,4-5 месяца жен.,,,,,,,
,,,ммоль/сут,0.7,1.7,6-8 месяцев жен.,,,,,,,
,,,ммоль/сут,0.8,1.8,9-11 месяцев жен.,,,,,,,
,,,ммоль/сут,0.9,2.3,12-17 месяцев жен.,,,,,,,
,,,ммоль/сут,1.0,2.6,18-24 месяца жен,,,,,,,
,,,ммоль/сут,1.1,2.8,25-36 месяцев жен.,,,,,,,
,,,ммоль/сут,.12,2.9,3-4 года жен.,,,,,,,
,,,ммоль/сут,1.3,3.6,4-5 лет жен.,,,,,,,
,,,ммоль/сут,1.5,4.0,5-6 лет жен.,,,,,,,
,,,ммоль/сут,1.7,4.5,6-7 лет жен.,,,,,,,
,,,ммоль/сут,2.0,4.9,7-8 лет жен.,,,,,,,
,,,ммоль/сут,2.2,5.5,8-9 лет жен.,,,,,,,
,,,ммоль/сут,2.5,6.2,9-10 лет жен.,,,,,,,
,,,ммоль/сут,2.7,6.9,10-11 лет жен.,,,,,,,
,,,ммоль/сут,3.1,10.7,11-12 лет жен.,,,,,,,
,,,ммоль/сут,3.5,12.0,12-13 лет жен.,,,,,,,
,,,ммоль/сут,3.9,13.3,13-14 лет жен.,,,,,,,
,,,ммоль/сут,5.3,15.9,15-90 лет жен.,,,,,,,
,Клиренс эндогенного креатинина,Моча сут.,"мл/мин/1,73 м2",65,100,0-12 месяцев,,,расчетный,,,,
,,,"мл/мин/1,73 м2",88,146,1 - 30 лет муж.,,,,,,,
,,,"мл/мин/1,73 м2",81,134,1 - 30 лет жен.,,,,,,,
,,,"мл/мин/1,73 м2",82,140,31-40 лет муж.,,,,,,,
,,,"мл/мин/1,73 м2",75,128,31-40 лет жен.,,,,,,,
,,,"мл/мин/1,73 м2",75,133,41-50 лет муж.,,,,,,,
,,,"мл/мин/1,73 м2",69,122,41-50 лет жен.,,,,,,,
,,,"мл/мин/1,73 м2",68,126,51-60 лет муж.,,,,,,,
,,,"мл/мин/1,73 м2",64,116,51-60 лет жен.,,,,,,,
,,,"мл/мин/1,73 м2",61,120,61-70 лет муж.,,,,,,,
,,,"мл/мин/1,73 м2",58,110,61-70 лет жен.,,,,,,,
,,,"мл/мин/1,73 м2",55,113,71-150 лет муж.,,,,,,,
,,,"мл/мин/1,73 м2",52,105,71-150 лет жен.,,,,,,,
,Суточный дирез,Моча сут.,мл,,,,,,,,,,
Клиренс креатинина расчетный (формула Кокрафта Голта),Креатинин,Сыв-ка крови,мкмоль/л,27,77,Новорожденные (недоношенные),,,Ферментативный метод.,,,"Клиренс креатинина, Проба Реберга, Проба Реберга — Тареева, Исследование функции клубочковой фильтрации, Оценка скорости клубочковой фильтрации (СКФ), Скорость выведения креатинина, Проба на СКФ, Почечный клиренс, Расчётный клиренс креатинина","Creatinine clearance, Rehberg test, Rehberg-Tareev test, Glomerular filtration test, GFR estimation (Glomerular Filtration Rate), Creatinine elimination rate, GFR test, Renal clearance, Estimated creatinine clearance."
,,,мкмоль/л,27,77,Новорожденные (доношенные),,,,,,,
,,,мкмоль/л,14,34,2–12 месяцев,,,,,,,
,,,мкмоль/л,15,31,1–3 года,,,,,,,
,,,мкмоль/л,23,37,3–5 лет,,,,,,,
,,,мкмоль/л,25,42,5–7 лет,,,,,,,
,,,мкмоль/л,30,47,7–9 лет,,,,,,,
,,,мкмоль/л,29,56,9–11 лет,,,,,,,
,,,мкмоль/л,39,60,11–13 лет,,,,,,,
,,,мкмоль/л,40,68,13–15 лет,,,,,,,
,,,мкмоль/л,59,104,15-90 лет мужчины,,,,,,,
,,,мкмоль/л,45,84,15-90 лет женщины,,,,,,,
,Клиренс эндогенного креатинина,,мл/мин,90,150,муж.,,,Расчетный,,,,
,,,мл/мин,80,30,жен.,,,,,,,
,Масса тела,,кг,,,,,,,,,,
,Возраст,,годы,,,,,,,,,,
Клиренс креатинина расчетный (CKD-EPI),Креатинин,Сыв-ка крови,мкмоль/л,27,77,Новорожденные (недоношенные),,,Ферментативный метод.,,,"Клиренс креатинина, Проба Реберга, Проба Реберга — Тареева, Исследование функции клубочковой фильтрации, Оценка скорости клубочковой фильтрации (СКФ), Скорость выведения креатинина, Проба на СКФ, Почечный клиренс, Расчётный клиренс креатинина","Creatinine clearance, Rehberg test, Rehberg-Tareev test, Glomerular filtration test, GFR estimation (Glomerular Filtration Rate), Creatinine elimination rate, GFR test, Renal clearance, Estimated creatinine clearance, CKD-EPI."
,,,мкмоль/л,27,77,Новорожденные (доношенные),,,,,,,
,,,мкмоль/л,14,34,2–12 месяцев,,,,,,,
,,,мкмоль/л,15,31,1–3 года,,,,,,,
,,,мкмоль/л,23,37,3–5 лет,,,,,,,
,,,мкмоль/л,25,42,5–7 лет,,,,,,,
,,,мкмоль/л,30,47,7–9 лет,,,,,,,
,,,мкмоль/л,29,56,9–11 лет,,,,,,,
,,,мкмоль/л,39,60,11–13 лет,,,,,,,
,,,мкмоль/л,40,68,13–15 лет,,,,,,,
,,,мкмоль/л,59,104,15-90 лет мужчины,,,,,,,
,,,мкмоль/л,45,84,15-90 лет женщины,,,,,,,
,Клиренс эндогенного креатинина,,"мл/мин/1,73 м2",60,,18-90 лет,,,Расчетный,,,,
,Возраст,,годы,,,,,,,,,,
Общий белок,Общий белок,Сыв-ка крови,г/л,48,80,Пуповинная кровь,,,Колориметрический тест.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен белков,"ОБ, сывороточный белок, общий протеин","Total Protein, TP, Serum Protein"
,,,г/л,36,60,Недоношенные дети,,,,,,,
,,,г/л,46,70,Новорожденные,,,,,,,
,,,г/л,55,83,0–14 дней,,,,,,,
,,,г/л,46,72,15 дней – 1 год,,,,,,,
,,,г/л,62,76,1–6 лет,,,,,,,
,,,г/л,65,77,6-9 лет,,,,,,,
,,,г/л,66,81,9-19 лет,,,,,,,
,,,г/л,64,83,20-90,,,,,,,
Альбумин,Альбумин,Сыв-ка крови,г/л,34,47,0–14 дней,,,Колориметрический тест.,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен белков,"Альбумин сывороточный, ALB","Albumin, ALB, Serum Albumin"
,,,г/л,30,53,15 дней – 1 год,,,,,,,
,,,г/л,41,52,1–8 лет,,,,,,,
,,,г/л,43,54,8-15 лет,,,,,,,
,,,г/л,41,56,15-19 лет жен.,,,,,,,
,,,г/л,44,57,15-19 лет муж.,,,,,,,
,,,г/л,35,52,20-90,,,,,,,
Белковые фракции,Альбумин,Сыв-ка крови,%,55,69,,,,Электрофорез,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Электрофорез белков,"Альбумин сывороточный, ALB","Albumin, Serum Albumin, ALB"
,альфа-1-глобулин,Сыв-ка крови,%,2.9,4.9,,,,Электрофорез,,,"α1-глобулин, альфа1-фракция глобулинов","Alpha-1 globulin, α1-globulin"
,альфа-2-глобулин,Сыв-ка крови,%,7.1,11.8,,,,,,,"α2-глобулин, альфа2-фракция глобулинов","Alpha-2 globulin, α2-globulin"
,бета-1-глобулин,Сыв-ка крови,%,4.7,7.2,,,,,,,"β-глобулин, бета-фракция глобулинов","Beta globulin, β-globulin"
,бета-2-глобулин,Сыв-ка крови,%,3.2,6.5,,,,,,,,
,гамма-глобулин,Сыв-ка крови,%,11.1,18.8,,,,,,,"γ-глобулин, иммуноглобулины (общий класс)","Gamma globulin, γ-globulin, Immunoglobulins (Ig)"
"Иммуноэлектрофорез-скрининг (дифференцировка гаммапатии: лямбда-цепи, капа-цепи иммуноглобулинов)",Каппа-цепи иимуноглобулинов в сыворотке,Сыв-ка крови,,,Не обнаружено,,,,Электрофорез,,,,
,Лямбда-цепи иммуноглобулино в сыворотке,Сыв-ка крови,,,Не обнаружено,,,,Электрофорез,,,,
Глюкоза,Глюкоза,Плазма с фторидом натрия,ммоль/л,2.22,3.33,"Новорожденные (1 день)
",<2.5,>20,Ферментативный референсный метод с гексокиназой. ,БИОХИМИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ,Обмен углеводов,"Сахар крови, гликемия, глюкоза плазмы","Glucose, Blood Sugar, Plasma Glucose"
,,,ммоль/л,2.78,4.44,1 день - 1 месяц,,,,,,,
,,,ммоль/л,3.33,5.55,1 месяц - 18 лет,,,,,,,
,,,ммоль/л,4.11,5.89,18-60 лет,,,,,,,
