row_number,status,review_comment,raw_line,columns_count,parsed_service,parsed_test,parsed_biomaterial,parsed_unit,parsed_method
1100,invalid_column_count,invalid_column_count,"TSH,",2,TSH,,,,
1101,invalid_column_count,invalid_column_count,"Гормон гипофиза (тиреотропный),",2,Гормон гипофиза (тиреотропный),,,,
1102,invalid_column_count,invalid_column_count,"Тиреостимулирующий гормон,",2,Тиреостимулирующий гормон,,,,
1103,invalid_column_count,invalid_column_count,"ТТГ сывороточный"",""TSH,",2,"ТТГ сывороточный,TSH",,,,
1104,invalid_column_count,invalid_column_count,"Thyrotropin,",2,Thyrotropin,,,,
1105,invalid_column_count,invalid_column_count,"Thyroid-stimulating hormone,",2,Thyroid-stimulating hormone,,,,
1106,invalid_column_count,invalid_column_count,"Pituitary thyrotropin,",2,Pituitary thyrotropin,,,,
1107,invalid_column_count,invalid_column_count,"Serum TSH,",2,Serum TSH,,,,
1108,invalid_column_count,invalid_column_count,"Thyrotropic hormone""",1,Thyrotropic hormone,,,,
1113,invalid_column_count,invalid_column_count,"Т4 свободный,Т4 свободный,Сыв-ка крови,пмоль/л,11.4,19.5,5 дней - 12 месяцев,,,ИХЛА,,,""Свободный тироксин,",13,Т4 свободный,Т4 свободный,Сыв-ка крови,пмоль/л,ИХЛА
1114,invalid_column_count,invalid_column_count,"fT4,",2,fT4,,,,
1115,invalid_column_count,invalid_column_count,"Несвязанный Т4,",2,Несвязанный Т4,,,,
1116,invalid_column_count,invalid_column_count,"Тироксин свободная фракция,",2,Тироксин свободная фракция,,,,
1117,invalid_column_count,invalid_column_count,"Free T4,",2,Free T4,,,,
1118,invalid_column_count,invalid_column_count,"Активная форма тироксина"",""Free Thyroxine,",2,"Активная форма тироксина,Free Thyroxine",,,,
1119,invalid_column_count,invalid_column_count,"fT4,",2,fT4,,,,
1120,invalid_column_count,invalid_column_count,"Free T4,",2,Free T4,,,,
1121,invalid_column_count,invalid_column_count,"Unbound thyroxine,",2,Unbound thyroxine,,,,
1122,invalid_column_count,invalid_column_count,"Active thyroxine fraction,",2,Active thyroxine fraction,,,,
1123,invalid_column_count,invalid_column_count,"Thyroxine free form""",1,Thyroxine free form,,,,
1128,invalid_column_count,invalid_column_count,"Т3 свободный,Т3 свободный,Сыв-ка крови,пмоль/л,4.3,7.8,5 дней - 12 месяцев,,,ИХЛА,,,""Свободный трийодтиронин,",13,Т3 свободный,Т3 свободный,Сыв-ка крови,пмоль/л,ИХЛА
1129,invalid_column_count,invalid_column_count,"fT3,",2,fT3,,,,
1130,invalid_column_count,invalid_column_count,"Несвязанный Т3,",2,Несвязанный Т3,,,,
1131,invalid_column_count,invalid_column_count,"Трийодтиронин свободная фракция,",2,Трийодтиронин свободная фракция,,,,
1132,invalid_column_count,invalid_column_count,"Free T3,",2,Free T3,,,,
1133,invalid_column_count,invalid_column_count,"Активная форма трийодтиронина"",""Free Triiodothyronine,",2,"Активная форма трийодтиронина,Free Triiodothyronine",,,,
1134,invalid_column_count,invalid_column_count,"fT3,",2,fT3,,,,
1135,invalid_column_count,invalid_column_count,"Free T3,",2,Free T3,,,,
1136,invalid_column_count,invalid_column_count,"Unbound triiodothyronine,",2,Unbound triiodothyronine,,,,
1137,invalid_column_count,invalid_column_count,"Active triiodothyronine fraction,",2,Active triiodothyronine fraction,,,,
1138,invalid_column_count,invalid_column_count,"Triiodothyronine free form""",1,Triiodothyronine free form,,,,
1143,invalid_column_count,invalid_column_count,"Антитела к тиреоглобулину (анти-ТГ),Антитела к тиреоглобулину (анти-ТГ),Сыв-ка крови,МЕ/мл,0,4.1,,,,ИХЛА,,,""АТ-ТГ,",13,Антитела к тиреоглобулину (анти-ТГ),Антитела к тиреоглобулину (анти-ТГ),Сыв-ка крови,МЕ/мл,ИХЛА
1144,invalid_column_count,invalid_column_count,"Анти-ТГ,",2,Анти-ТГ,,,,
1145,invalid_column_count,invalid_column_count,"Антитела к ТГ,",2,Антитела к ТГ,,,,
1146,invalid_column_count,invalid_column_count,"Аутоантитела к тиреоглобулину,",2,Аутоантитела к тиреоглобулину,,,,
1147,invalid_column_count,invalid_column_count,"Анти-Tg"",""Anti-Tg,",2,"Анти-Tg,Anti-Tg",,,,
1148,invalid_column_count,invalid_column_count,"Anti-thyroglobulin antibodies,",2,Anti-thyroglobulin antibodies,,,,
1149,invalid_column_count,invalid_column_count,"TgAb,",2,TgAb,,,,
1150,invalid_column_count,invalid_column_count,"Thyroglobulin autoantibodies,",2,Thyroglobulin autoantibodies,,,,
1151,invalid_column_count,invalid_column_count,"Anti-TG antibodies""",1,Anti-TG antibodies,,,,
1152,invalid_column_count,invalid_column_count,"Антитела к тиреопероксидазе (анти-ТПО),Антитела к тиреопероксидазе (анти-ТПО),Сыв-ка крови,МЕ/мл,0,5.6,,,,ИХЛА,,,""АТ-ТПО,",13,Антитела к тиреопероксидазе (анти-ТПО),Антитела к тиреопероксидазе (анти-ТПО),Сыв-ка крови,МЕ/мл,ИХЛА
1153,invalid_column_count,invalid_column_count,"Анти-ТПО,",2,Анти-ТПО,,,,
1154,invalid_column_count,invalid_column_count,"Антитела к ТПО,",2,Антитела к ТПО,,,,
1155,invalid_column_count,invalid_column_count,"Антитела к микросомальной фракции,",2,Антитела к микросомальной фракции,,,,
1156,invalid_column_count,invalid_column_count,"Анти-микросомальные антитела"",""Anti-TPO,",2,"Анти-микросомальные антитела,Anti-TPO",,,,
1157,invalid_column_count,invalid_column_count,"Anti-thyroid peroxidase antibodies,",2,Anti-thyroid peroxidase antibodies,,,,
1158,invalid_column_count,invalid_column_count,"TPOAb,",2,TPOAb,,,,
1159,invalid_column_count,invalid_column_count,"Anti-microsomal antibodies,",2,Anti-microsomal antibodies,,,,
1160,invalid_column_count,invalid_column_count,"Thyroid microsomal antibodies""",1,Thyroid microsomal antibodies,,,,
1161,invalid_column_count,invalid_column_count,"Антитела к рецепторам ТТГ,Антитела к рецепторам ТТГ,Сыв-ка крови,МЕ/л,0,1.0,,,,ИХЛА,,,""АТ-рТТГ,",13,Антитела к рецепторам ТТГ,Антитела к рецепторам ТТГ,Сыв-ка крови,МЕ/л,ИХЛА
1162,invalid_column_count,invalid_column_count,"Анти-рТТГ,",2,Анти-рТТГ,,,,
1163,invalid_column_count,invalid_column_count,"Антитела к TSH-рецептору,",2,Антитела к TSH-рецептору,,,,
1164,invalid_column_count,invalid_column_count,"TSH-рецепторные антитела,",2,TSH-рецепторные антитела,,,,
1165,invalid_column_count,invalid_column_count,"ТРАБ"",""TRAb,",2,"ТРАБ,TRAb",,,,
1166,invalid_column_count,invalid_column_count,"TSH receptor antibodies,",2,TSH receptor antibodies,,,,
1167,invalid_column_count,invalid_column_count,"Anti-TSHR,",2,Anti-TSHR,,,,
1168,invalid_column_count,invalid_column_count,"Thyrotropin receptor antibodies,",2,Thyrotropin receptor antibodies,,,,
1169,invalid_column_count,invalid_column_count,"TSH-R autoantibodies""",1,TSH-R autoantibodies,,,,
1170,invalid_column_count,invalid_column_count,"Тиреоглобулин,Тиреоглобулин,Сыв-ка крови,нг/мл,1.6,59,,,,,,,""ТГ,",13,Тиреоглобулин,Тиреоглобулин,Сыв-ка крови,нг/мл,
1171,invalid_column_count,invalid_column_count,"Тиреоглобулин сывороточный,",2,Тиреоглобулин сывороточный,,,,
1172,invalid_column_count,invalid_column_count,"Белок-предшественник тиреоидных гормонов,",2,Белок-предшественник тиреоидных гормонов,,,,
1173,invalid_column_count,invalid_column_count,"Маркер ткани щитовидной железы"",""Thyroglobulin,",2,"Маркер ткани щитовидной железы,Thyroglobulin",,,,
1174,invalid_column_count,invalid_column_count,"Tg,",2,Tg,,,,
1175,invalid_column_count,invalid_column_count,"Serum thyroglobulin,",2,Serum thyroglobulin,,,,
1176,invalid_column_count,invalid_column_count,"Thyroid hormone precursor protein,",2,Thyroid hormone precursor protein,,,,
1177,invalid_column_count,invalid_column_count,"Thyroid tissue marker""",1,Thyroid tissue marker,,,,
1178,invalid_column_count,invalid_column_count,"Т4 общий,Т4 общий,Сыв-ка крови,нмоль/л,101,213,5 дней - 12 месяцев,,,ИХЛА,,,""Тироксин общий,",13,Т4 общий,Т4 общий,Сыв-ка крови,нмоль/л,ИХЛА
1179,invalid_column_count,invalid_column_count,"Тетрайодтиронин,",2,Тетрайодтиронин,,,,
1180,invalid_column_count,invalid_column_count,"Тиреоидный гормон Т4,",2,Тиреоидный гормон Т4,,,,
1181,invalid_column_count,invalid_column_count,"TT4,",2,TT4,,,,
1182,invalid_column_count,invalid_column_count,"Общий тироксин сыворотки,",2,Общий тироксин сыворотки,,,,
1183,invalid_column_count,invalid_column_count,"Гормон щитовидной железы (основной)"",""Total Thyroxine,",2,"Гормон щитовидной железы (основной),Total Thyroxine",,,,
1184,invalid_column_count,invalid_column_count,"T4 total,",2,T4 total,,,,
1185,invalid_column_count,invalid_column_count,"Tetraiodothyronine,",2,Tetraiodothyronine,,,,
1186,invalid_column_count,invalid_column_count,"TT4,",2,TT4,,,,
1187,invalid_column_count,invalid_column_count,"Serum total thyroxine,",2,Serum total thyroxine,,,,
1188,invalid_column_count,invalid_column_count,"Main thyroid hormone""",1,Main thyroid hormone,,,,
1193,invalid_column_count,invalid_column_count,"Т3 общий,Т3 общий,Сыв-ка крови,пмоль/л,4.3,7.8,5 дней - 12 месяцев,,,ИХЛА,,,""Трийодтиронин общий,",13,Т3 общий,Т3 общий,Сыв-ка крови,пмоль/л,ИХЛА
1194,invalid_column_count,invalid_column_count,"Тиреоидный гормон Т3,",2,Тиреоидный гормон Т3,,,,
1195,invalid_column_count,invalid_column_count,"TT3,",2,TT3,,,,
1196,invalid_column_count,invalid_column_count,"Общий трийодтиронин сыворотки,",2,Общий трийодтиронин сыворотки,,,,
1197,invalid_column_count,invalid_column_count,"Активный тиреоидный гормон"",""Total Triiodothyronine,",2,"Активный тиреоидный гормон,Total Triiodothyronine",,,,
1198,invalid_column_count,invalid_column_count,"T3 total,",2,T3 total,,,,
1199,invalid_column_count,invalid_column_count,"Triiodothyronine,",2,Triiodothyronine,,,,
1200,invalid_column_count,invalid_column_count,"TT3,",2,TT3,,,,
1201,invalid_column_count,invalid_column_count,"Serum total triiodothyronine,",2,Serum total triiodothyronine,,,,
1202,invalid_column_count,invalid_column_count,"Active thyroid hormone""",1,Active thyroid hormone,,,,
1207,invalid_column_count,invalid_column_count,"Пролактин,Пролактин,Сыв-ка крови,мМЕ/л,264,4468,4 -30 дней,,,ИХЛА,Гормональные исследования,Половые гормоны и белки                ,""Лактотропный гормон,",13,Пролактин,Пролактин,Сыв-ка крови,мМЕ/л,ИХЛА
1208,invalid_column_count,invalid_column_count,"ЛТГ,",2,ЛТГ,,,,
1209,invalid_column_count,invalid_column_count,"Мамотропин,",2,Мамотропин,,,,
1210,invalid_column_count,invalid_column_count,"Гормон лактации,",2,Гормон лактации,,,,
1211,invalid_column_count,invalid_column_count,"ПРЛ,",2,ПРЛ,,,,
1212,invalid_column_count,invalid_column_count,"Пролактин сывороточный,",2,Пролактин сывороточный,,,,
1213,invalid_column_count,invalid_column_count,"Гипофизарный лактогенный гормон,",2,Гипофизарный лактогенный гормон,,,,
1214,invalid_column_count,invalid_column_count,"Маркер гиперпролактинемии"",""Prolactin,",2,"Маркер гиперпролактинемии,Prolactin",,,,
1215,invalid_column_count,invalid_column_count,"PRL,",2,PRL,,,,
1216,invalid_column_count,invalid_column_count,"Lactotropin,",2,Lactotropin,,,,
1217,invalid_column_count,invalid_column_count,"Mammotropin,",2,Mammotropin,,,,
1218,invalid_column_count,invalid_column_count,"Lactation hormone,",2,Lactation hormone,,,,
1219,invalid_column_count,invalid_column_count,"Serum prolactin,",2,Serum prolactin,,,,
1220,invalid_column_count,invalid_column_count,"Pituitary lactogenic hormone,",2,Pituitary lactogenic hormone,,,,
1221,invalid_column_count,invalid_column_count,"Hyperprolactinemia marker""",1,Hyperprolactinemia marker,,,,
1226,invalid_column_count,invalid_column_count,"Лютеинизирующий гормон (ЛГ),Лютеинизирующий гормон (ЛГ),Сыв-ка крови,МЕ/л,0,3.81,4 дня - 3 месяца муж.,,,ИХЛА,,,""ЛГ,",13,Лютеинизирующий гормон (ЛГ),Лютеинизирующий гормон (ЛГ),Сыв-ка крови,МЕ/л,ИХЛА
1227,invalid_column_count,invalid_column_count,"Лютропин,",2,Лютропин,,,,
1228,invalid_column_count,invalid_column_count,"Гонадотропин-бета,",2,Гонадотропин-бета,,,,
1229,invalid_column_count,invalid_column_count,"Гипофизарный гонадотропин II,",2,Гипофизарный гонадотропин II,,,,
1230,invalid_column_count,invalid_column_count,"Лютеинизирующий гормон сывороточный,",2,Лютеинизирующий гормон сывороточный,,,,
1231,invalid_column_count,invalid_column_count,"Индуктор овуляции,",2,Индуктор овуляции,,,,
1232,invalid_column_count,invalid_column_count,"Стимулятор синтеза тестостерона,",2,Стимулятор синтеза тестостерона,,,,
1233,invalid_column_count,invalid_column_count,"Маркер гонадотропной функции"",""Luteinizing hormone (LH),",2,"Маркер гонадотропной функции,Luteinizing hormone (LH)",,,,
1234,invalid_column_count,invalid_column_count,"LH,",2,LH,,,,
1235,invalid_column_count,invalid_column_count,"Lutropin,",2,Lutropin,,,,
1236,invalid_column_count,invalid_column_count,"Gonadotropin-beta,",2,Gonadotropin-beta,,,,
1237,invalid_column_count,invalid_column_count,"Pituitary gonadotropin II,",2,Pituitary gonadotropin II,,,,
1238,invalid_column_count,invalid_column_count,"Serum luteinizing hormone,",2,Serum luteinizing hormone,,,,
1239,invalid_column_count,invalid_column_count,"Ovulation inducer,",2,Ovulation inducer,,,,
1240,invalid_column_count,invalid_column_count,"Testosterone synthesis stimulator,",2,Testosterone synthesis stimulator,,,,
1241,invalid_column_count,invalid_column_count,"Gonadotropic function marker""",1,Gonadotropic function marker,,,,
1242,needs_review,unit_conflict_for_same_test_context,",,,МЕ/л,1,2.41,4 дня - 3 месяца жен.,,,,,,,",14,СОЭ,СОЭ,Кровь венозная с ЭДТА,МЕ/л,Метод Вестергрена
1258,invalid_column_count,invalid_column_count,"Фолликулостимулирующий гормон (ФСГ),Фолликулостимулирующий гормон (ФСГ),Сыв-ка крови,МЕ/л,0.09,2.41,1-12 месяцев муж.,,,ИХЛА,,,""ФСГ,",13,Фолликулостимулирующий гормон (ФСГ),Фолликулостимулирующий гормон (ФСГ),Сыв-ка крови,МЕ/л,ИХЛА
1259,invalid_column_count,invalid_column_count,"Фоллитропин,",2,Фоллитропин,,,,
1260,invalid_column_count,invalid_column_count,"Гонадотропин-альфа,",2,Гонадотропин-альфа,,,,
1261,invalid_column_count,invalid_column_count,"Гипофизарный гонадотропин,",2,Гипофизарный гонадотропин,,,,
1262,invalid_column_count,invalid_column_count,"Фолликулостимулирующий гормон сывороточный,",2,Фолликулостимулирующий гормон сывороточный,,,,
1263,invalid_column_count,invalid_column_count,"Маркер функции гонад,",2,Маркер функции гонад,,,,
1264,invalid_column_count,invalid_column_count,"Регулятор сперматогенеза/фолликулогенеза"",""Follicle-stimulating hormone (FSH),",2,"Регулятор сперматогенеза/фолликулогенеза,Follicle-stimulating hormone (FSH)",,,,
1265,invalid_column_count,invalid_column_count,"FSH,",2,FSH,,,,
1266,invalid_column_count,invalid_column_count,"Follitropin,",2,Follitropin,,,,
1267,invalid_column_count,invalid_column_count,"Gonadotropin-alpha,",2,Gonadotropin-alpha,,,,
1268,invalid_column_count,invalid_column_count,"Pituitary gonadotropin,",2,Pituitary gonadotropin,,,,
1269,invalid_column_count,invalid_column_count,"Serum follicle-stimulating hormone,",2,Serum follicle-stimulating hormone,,,,
1270,invalid_column_count,invalid_column_count,"Gonadal function marker,",2,Gonadal function marker,,,,
1271,invalid_column_count,invalid_column_count,"Spermatogenesis/folliculogenesis regulator""",1,Spermatogenesis/folliculogenesis regulator,,,,
1285,invalid_column_count,invalid_column_count,"Эстрадиол (Е2),Эстрадиол (Е2),Сыв-ка крови,пмоль/л,0,92,15 дней - 12 месяцев муж.,,,ИХЛА,,,""Е2,",13,Эстрадиол (Е2),Эстрадиол (Е2),Сыв-ка крови,пмоль/л,ИХЛА
1286,invalid_column_count,invalid_column_count,"17-β-эстрадиол,",2,17-β-эстрадиол,,,,
1287,invalid_column_count,invalid_column_count,"Дигидротеелин,",2,Дигидротеелин,,,,
1288,invalid_column_count,invalid_column_count,"Эстра-1,3,5(10)-триен-3,17β-диол,",5,Эстра-1,3,5(10)-триен-3,17β-диол,
1289,invalid_column_count,invalid_column_count,"Основной эстроген,",2,Основной эстроген,,,,
1290,invalid_column_count,invalid_column_count,"Эстрадиол сывороточный,",2,Эстрадиол сывороточный,,,,
1291,invalid_column_count,invalid_column_count,"Женский половой гормон,",2,Женский половой гормон,,,,
1292,invalid_column_count,invalid_column_count,"Маркер фолликулярного резерва"",""Estradiol (E2),",2,"Маркер фолликулярного резерва,Estradiol (E2)",,,,
1293,invalid_column_count,invalid_column_count,"17-beta-estradiol,",2,17-beta-estradiol,,,,
1294,invalid_column_count,invalid_column_count,"Dihydrotheelin,",2,Dihydrotheelin,,,,
1295,invalid_column_count,invalid_column_count,"Estra-1,3,5(10)-triene-3,17β-diol,",5,Estra-1,3,5(10)-triene-3,17β-diol,
1296,invalid_column_count,invalid_column_count,"Primary estrogen,",2,Primary estrogen,,,,
1297,invalid_column_count,invalid_column_count,"Serum estradiol,",2,Serum estradiol,,,,
1298,invalid_column_count,invalid_column_count,"Female sex hormone,",2,Female sex hormone,,,,
1299,invalid_column_count,invalid_column_count,"Follicular reserve marker""",1,Follicular reserve marker,,,,
1300,needs_review,unit_conflict_for_same_test_context,",,,пмоль/л,0,46,1-11 лет муж.,,,,,,,",14,СОЭ,СОЭ,Кровь венозная с ЭДТА,пмоль/л,Метод Вестергрена
1317,invalid_column_count,invalid_column_count,"Прогестерон,Прогестерон,Сыв-ка крови,нмоль/л,0,2.1,0-12 месяцев муж.,,,ИХЛА,,,""П4,",13,Прогестерон,Прогестерон,Сыв-ка крови,нмоль/л,ИХЛА
1318,invalid_column_count,invalid_column_count,"Прогестин,",2,Прогестин,,,,
1319,invalid_column_count,invalid_column_count,"Гормон жёлтого тела,",2,Гормон жёлтого тела,,,,
1320,invalid_column_count,invalid_column_count,"Лютеиновый гормон,",2,Лютеиновый гормон,,,,
1321,invalid_column_count,invalid_column_count,"Гестаген,",2,Гестаген,,,,
1322,invalid_column_count,invalid_column_count,"Прогестерон сывороточный,",2,Прогестерон сывороточный,,,,
1323,invalid_column_count,invalid_column_count,"Гормон беременности"",""Progesterone,",2,"Гормон беременности,Progesterone",,,,
